Price,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-05-15,171.44347960387887,171.49298697857782,169.77023004875,170.36428833007812,37266700,,,
2023-05-16,170.28507955206572,171.42367363249335,170.0969605927275,170.36428833007812,42110300,,,
2023-05-17,170.00783790944186,171.21573009717264,168.7306172756303,170.97811889648438,57951600,,,
2023-05-18,171.28503138533677,173.50283145007626,170.86919670585942,173.31471252441406,65496700,,,
2023-05-19,174.6414324508558,174.6414324508558,173.20580942819797,173.4236297607422,55772400,,,
2023-05-22,172.25533943207657,172.97811385055638,171.73059450812943,172.47315979003906,43570900,,,
2023-05-23,171.41375772100255,171.66127945739515,169.5820908286863,169.85931396484375,50747300,,,
2023-05-24,169.39397044171028,170.71078788094945,168.82962874348078,170.13653564453125,45143500,,,
2023-05-25,170.70090944955888,172.17612946392208,169.9880455752579,171.27516174316406,56058300,,,
2023-05-26,171.60189457506777,174.02760482348145,171.39396964747598,173.6909637451172,54835000,,,
2023-05-30,175.20579349606086,177.21566879798618,174.81966018947244,175.54241943359375,55964400,,,
2023-05-31,175.57212869440465,177.57210865507508,175.00777185545402,175.492919921875,99625300,,,
2023-06-01,175.9384564736909,178.33446519527467,175.17608525533697,178.3047637939453,68901800,,,
2023-06-02,179.2354282464183,179.97799341291704,177.48297022337377,179.15621948242188,61945900,81.15350867078769,,
2023-06-05,180.81955719143568,183.11655071245002,176.2750472958808,177.79978942871094,121946500,71.841552674936,,
2023-06-06,178.18596289670575,178.33446990727649,175.67113339582835,177.43350219726562,64848400,69.52168629614627,,
2023-06-07,176.67113061333816,179.41367589423808,175.56223798316736,176.05728149414062,61944600,61.48777504826232,,
2023-06-08,176.1364534617516,179.04731136486936,175.70082791608735,178.77999877929688,50214900,69.09652334445572,,
2023-06-09,179.70080859942686,180.423567952115,178.83943765707895,179.16616821289062,48870700,70.00177675701238,,
2023-06-12,179.47308536155512,182.06710862095264,179.17605622243772,181.9680938720703,54274900,75.58916512908606,,
2023-06-13,180.98788948565831,182.32449774459167,180.63145759510397,181.49282836914062,54929100,73.10198707872368,,
2023-06-14,181.5522431050323,182.56213604593384,180.21563475820471,182.12649536132812,57462900,74.31545601576398,,
2023-06-15,182.136425495302,184.67104599748652,181.95820196536692,184.1660919189453,65433200,77.78880387864075,,
2023-06-16,184.878923163322,185.13635542691418,182.4433178422068,183.0868682861328,101235600,72.22328667483205,,
2023-06-20,182.58193651385486,184.2551858622496,182.58193651385486,183.1759796142578,49799100,72.39888533994318,,
2023-06-21,183.0670826761933,183.57203672168455,180.77998409317422,182.13641357421875,49515700,67.07186236821872,2.9253800021410825,
2023-06-22,181.91859254012144,185.19577812392734,181.84927919785179,185.14627075195312,51245300,73.21652566516865,3.060270612022464,
2023-06-23,183.71061886586367,185.70068800461124,183.17596350424247,184.82940673828125,53079300,71.6996168638767,3.1058023581377654,
2023-06-26,184.97794384564872,186.18585111473345,183.39379870692287,183.43341064453125,48088700,65.28245760748925,2.9947201077792727,
2023-06-27,184.04726807160984,186.52248552112178,183.8294477274505,186.1957550048828,50730800,70.84332217966546,3.093919944845169,
2023-06-28,186.0670251747448,188.0174975900725,185.7403097900696,187.3739471435547,51216800,72.84144846920329,3.230369105234189,
2023-06-29,187.20563240999925,188.1858238773272,187.06702084863718,187.7105712890625,46347300,73.402293545233,3.327313603126697,
2023-06-30,189.73036510372253,192.55210381756805,189.36402266288647,192.0471649169922,85069600,79.3255275556376,3.711288258653667,
2023-07-03,191.85904618822673,191.9580609253223,189.85906633761323,190.55213928222656,31458200,73.26776506483627,3.850567915240191,3.352309406019193
2023-07-05,189.6709759307026,191.06698713435688,188.7303811843197,189.433349609375,46920300,69.02001629285203,3.826560858432458,3.4471596965018465
2023-07-06,187.95809689875657,190.11649423604223,187.32444187549908,189.9085693359375,45094300,69.82038530226316,3.8020536455774447,3.5181384863169667
2023-07-07,189.51255404191053,190.7600582083635,188.35415407859097,188.78977966308594,46778000,65.52822294034598,3.650276412080899,3.5445660714697533
2023-07-10,187.38386117936162,188.10663557063202,185.18586681905202,186.7403106689453,59922200,58.44081033290897,3.326273629471757,3.500907583070154
2023-07-11,187.28487201023415,187.42348359441797,184.75025155228488,186.215576171875,46638100,56.74843698188418,2.992659881171562,3.3992580426904357
2023-07-12,187.79968989475896,189.7996698114742,186.60169311695756,187.88880920410156,60750200,60.660536370484536,2.8306544811576373,3.2855373303838764
2023-07-13,188.61157199087162,189.29473443261006,187.89870814797314,188.6511688232422,41342300,62.33226476996011,2.732284015082058,3.1748866673235128
2023-07-14,188.34422075160825,189.28480025511277,187.75017769506536,188.79966735839844,41573900,62.66507718036884,2.635922034322107,3.067093740723232
2023-07-17,189.9976776399959,192.39370132812152,189.9085734412509,192.0669708251953,50520200,69.12821887529627,2.7910253511997496,3.011880062818536
2023-07-18,191.433317028607,192.40359800546008,190.51252831302557,191.80953979492188,48353800,68.12751161546547,2.8602026785185046,2.9815445859585297
2023-07-19,191.18579595006162,196.26493172677777,190.74024473686075,193.1659698486328,80507300,70.54689122860671,2.9900117833689137,2.9832380254406066
2023-07-20,193.1560464503255,194.52237118378105,190.5917250482106,191.21548461914062,59581200,63.12645568796823,2.9020456018150753,2.9669995407155003
2023-07-21,192.17589935868594,193.03727024392953,189.33433929774543,190.0373077392578,71917800,59.08375038204049,2.7060688640051467,2.9148134053734296
2023-07-24,191.49275556563288,192.97788626161415,190.34425086826664,190.83929443359375,45377800,60.91848566300707,2.585663590750613,2.8489834424488665
2023-07-25,191.4135192381226,192.51251639930572,191.00757994716116,191.7006378173828,37283200,62.84549118687291,2.530573876329214,2.785301529224936
2023-07-26,191.75014067908202,193.70061320853526,191.40361930588426,192.57191467285156,47471900,64.73942792747283,2.5280775372463893,2.7338567308292268
2023-07-27,194.076873305403,195.24516880610398,190.64126993533102,191.30462646484375,47460200,59.95241575479947,2.3962174995797625,2.666328884579334
2023-07-28,192.74024356896163,194.6808208278144,192.21549864281087,193.8887481689453,48291400,65.54674681425324,2.4717417940476025,2.6274114664729877
2023-07-31,194.1164606567971,194.54220593555127,193.3243880114047,194.50259399414062,38824100,66.73547931254338,2.551713010309527,2.6122717752402957
2023-08-01,194.29468863259882,194.77982161953312,193.3441984148306,193.67092895507812,35175100,63.53692370121376,2.5189455212412497,2.5936065244404864
2023-08-02,193.1065496196106,193.24516118654293,189.94818497968632,190.6709442138672,50389300,53.56394365206656,2.22525203311406,2.5199356261752013
2023-08-03,189.67097673188036,190.46303425792703,188.79969532419432,189.27493286132812,61235200,49.65786154891784,1.8584285708960238,2.387634215119366
2023-08-04,183.68094960257173,185.52251207833032,180.11663025996506,180.18594360351562,115799700,32.85760148551566,0.824805022143039,2.0750683765241007
2023-08-07,180.32455640774955,181.31464344213896,175.5919415919706,177.0770721435547,97576100,29.21653537412726,-0.2424146270721792,1.6115717758048447
2023-08-08,177.9087289898081,178.48298124186843,175.81964489133262,178.01763916015625,67823000,31.68310011768324,-1.0007618309498412,1.0891050544539076
2023-08-09,179.0770095774785,179.13641237321562,175.25527360727992,176.423583984375,60378500,29.788540743402123,-1.710664904067869,0.5291510627495524
2023-08-10,177.70080592181807,178.95822060931928,175.8394526832055,176.20578002929688,54686900,29.52872092114889,-2.264736688208558,-0.029626487442069638
2023-08-11,175.7993034466227,177.0881424893324,175.03590276334816,176.2652587890625,51988100,29.709024127955544,-2.668284803913423,-0.5573581507363402
2023-08-14,176.44373225185288,178.14898275911253,175.78938877461678,177.92095947265625,43675600,34.71629084802889,-2.821968488991928,-1.0102802183874577
2023-08-15,177.34593637648265,177.94078172124355,175.53162857549793,175.92819213867188,43622600,31.78176081698662,-3.069183944240365,-1.4220609635580392
2023-08-16,175.61093536777827,177.00883168990967,174.98633341606396,175.0557403564453,46964900,30.563668395315432,-3.2974921046924806,-1.7971471917849275
2023-08-17,175.6208528452633,175.98767489704687,171.99223724872292,172.50778198242188,66062900,27.275793676405755,-3.642043700641807,-2.1661264935563036
2023-08-18,170.82235510894964,173.59834528388794,170.48527458580276,172.9935760498047,61114200,28.847404779800726,-3.8317339576126983,-2.4992479863675827
2023-08-21,173.56859991663836,174.61950689363672,172.25000423465377,174.3319854736328,46311900,33.13474609126767,-3.8299174931379696,-2.7653818877216603
2023-08-22,175.5415427319188,176.15622081199353,174.73849165880682,175.7100830078125,42084200,37.322531451044064,-3.6749148473825812,-2.9472884796538446
2023-08-23,176.98903312238062,179.99304691061286,176.80066012445005,179.5667266845703,52722800,47.27469028845135,-3.203942169543609,-2.9986192176317976
2023-08-24,179.12058855477642,179.54690878007156,174.5005486639036,174.8673858642578,54945800,39.12296207830777,-3.173310511095906,-3.0335574763246194
2023-08-25,175.85879974601767,177.6136093916348,174.31218067560857,177.0782470703125,51449600,44.01408936104913,-2.936783269252487,-3.0142026349101934
2023-08-28,178.5455506421133,179.04126265908485,177.0187642861302,178.6446990966797,43820700,47.248046795214826,-2.593043151525336,-2.929970738233222
2023-08-29,178.15889276911417,183.31429463018617,177.96061099136716,182.54098510742188,53003900,54.31662613367275,-1.9833659057081263,-2.7406497717282035
2023-08-30,183.35395983897268,186.23900735465395,183.1556780614674,186.04071044921875,60813900,59.55852241568873,-1.203915718264028,-2.4333029610353685
2023-08-31,186.22906281435257,187.49808420340318,185.87214960318659,186.25880432128906,60794500,59.8675661449582,-0.5621177329701652,-2.0590659154223276
2023-09-01,187.86493132785435,188.2912363685708,186.66530168187228,187.83518981933594,45732600,62.12075643018687,0.07287289618375326,-1.6326781531011116
